Start,End,Sleep Quality,Regularity,Mood,Heart rate (bpm),Steps,Alarm mode,Air Pressure (Pa),City,Movements per hour,Time in bed (seconds),Time asleep (seconds),Time before sleep (seconds),Window start,Window stop,Did snore,Snore time,Weather temperature (Â°C),Weather type,Notes
5/12/2019 23:26,5/13/2019 6:11,60%,0%,,0,8350,Normal,,,35.0,24289.2,22993.8,161.9,5/13/2019 6:00,5/13/2019 6:00,TRUE,92.0,0.0,No weather,
5/13/2019 22:10,5/14/2019 6:10,73%,0%,,0,4746,Normal,,,78.6,28810.2,25160.9,192.1,5/14/2019 5:49,5/14/2019 5:49,TRUE,0.0,0.0,No weather,
5/14/2019 21:43,5/15/2019 6:10,86%,96%,,0,4007,Normal,,,60.5,30461.5,28430.8,203.1,5/15/2019 5:49,5/15/2019 5:49,TRUE,74.0,0.0,No weather,
5/15/2019 23:11,5/16/2019 6:13,77%,92%,,0,6578,Normal,,,45.2,25327.6,23132.5,168.9,5/16/2019 5:49,5/16/2019 5:49,TRUE,0.0,0.0,No weather,
5/16/2019 23:12,5/17/2019 6:20,78%,94%,,0,4913,Normal,,,44.6,25698.4,22614.6,171.3,5/17/2019 5:49,5/17/2019 5:49,TRUE,188.0,0.0,No weather,
5/19/2019 1:25,5/19/2019 8:43,72%,80%,,0,4020,No alarm,,,58.0,26278.2,20759.8,175.2,,,TRUE,0.0,0.0,No weather,
5/20/2019 22:41,5/21/2019 6:22,73%,58%,,0,5133,Normal,,,64.0,27705.2,24565.2,184.7,5/21/2019 5:49,5/21/2019 5:49,TRUE,0.0,0.0,No weather,
5/21/2019 22:39,5/22/2019 6:00,78%,77%,,0,4927,Normal,,,51.0,26488.8,22780.4,176.6,5/22/2019 5:49,5/22/2019 5:49,TRUE,279.0,0.0,No weather,
5/22/2019 22:36,5/23/2019 6:03,84%,98%,,0,6637,Normal,,,43.5,26819.9,25925.9,178.8,5/23/2019 5:49,5/23/2019 5:49,TRUE,0.0,0.0,No weather,
5/23/2019 23:15,5/24/2019 6:33,88%,95%,,0,4298,Normal,,,31.6,26304.2,23761.4,175.4,5/24/2019 6:34,5/24/2019 6:34,TRUE,0.0,0.0,No weather,
5/26/2019 0:20,5/26/2019 8:19,71%,83%,,0,4741,No alarm,,,69.0,28708.4,26603.1,191.4,,,TRUE,516.0,0.0,No weather,
5/26/2019 22:49,5/27/2019 6:09,73%,73%,,0,6110,Normal,,,56.5,26417.5,22190.7,176.1,5/27/2019 5:49,5/27/2019 5:49,TRUE,617.0,0.0,No weather,
5/27/2019 22:31,5/28/2019 5:43,74%,82%,,0,3999,Normal,,,52.4,25882.0,23466.4,172.5,5/28/2019 5:35,5/28/2019 5:35,TRUE,0.0,0.0,No weather,
5/28/2019 22:57,5/29/2019 6:01,75%,86%,,0,5811,Normal,,,49.1,25422.7,22711.0,169.5,5/29/2019 5:49,5/29/2019 5:49,TRUE,0.0,0.0,No weather,
5/29/2019 22:24,5/30/2019 6:10,92%,94%,,0,5256,Normal,,,34.9,27976.8,26111.6,186.5,5/30/2019 5:49,5/30/2019 5:49,TRUE,243.0,0.0,No weather,
5/30/2019 21:58,5/31/2019 6:12,73%,95%,,0,5286,Normal,,,68.2,29627.1,26664.3,1185.1,5/31/2019 5:49,5/31/2019 5:49,TRUE,239.0,0.0,No weather,
5/31/2019 23:28,6/1/2019 6:39,85%,91%,,0,4188,Normal,,Nelson,35.0,25888.3,23299.5,172.6,6/1/2019 6:30,6/1/2019 6:30,TRUE,0.0,0.0,No weather,
6/1/2019 22:27,6/2/2019 7:02,97%,89%,,0,11111,No alarm,,,40.3,30908.4,28538.8,206.1,,,TRUE,0.0,0.0,No weather,
6/2/2019 22:34,6/3/2019 6:11,75%,88%,,0,11651,Normal,,Nelson,56.3,27427.0,24501.4,182.8,6/3/2019 5:49,6/3/2019 5:49,TRUE,0.0,11.6,Sunny,
